Monitoring point coding,Monitoring point name,city,longitude,latitude,region,GADM
1750A,Taiping,Anshan,123.0485,41.1442,Liaoning,CN.LN
1751A,Tiexi Sandao Street,Anshan,122.9642,41.0971,Liaoning,CN.LN
1752A,Tiexi Industrial Park,Anshan,122.9341,41.0833,Liaoning,CN.LN
1753A,Mingda New District,Anshan,123.022,41.0821,Liaoning,CN.LN
1754A,Qianshan (control point),Anshan,123.1289,41.0228,Liaoning,CN.LN
1755A,Wanghua District,Fushun,123.7977,41.8491,Liaoning,CN.LN
1756A,Shuncheng,Fushun,123.9161,41.8822,Liaoning,CN.LN
1757A,Dongzhou District,Fushun,124.0436,41.8611,Liaoning,CN.LN
1758A,Xinfu District,Fushun,123.9247,41.8642,Liaoning,CN.LN
1759A,Dahuofang Reservoir,Fushun,124.0972,41.8961,Liaoning,CN.LN
1760A,Shenfu New City,Fushun,123.7086,41.8391,Liaoning,CN.LN
1761A,Dayu,Benxi,123.8275,41.3064,Liaoning,CN.LN
1762A,Xihu,Benxi,123.7567,41.3325,Liaoning,CN.LN
1763A,Caitun,Benxi,123.7169,41.3094,Liaoning,CN.LN
1764A,Dongming,Benxi,123.7669,41.2864,Liaoning,CN.LN
1765A,Xinlitun,Benxi,123.7992,41.2664,Liaoning,CN.LN
1766A,Weining,Benxi,123.8142,41.3472,Liaoning,CN.LN
1767A,Nanshan,Jinzhou,121.1115,41.0879,Liaoning,CN.LN
1768A,Development Zone,Jinzhou,121.0533,40.8434,Liaoning,CN.LN
1769A,Baigu Jiedao,Jinzhou,121.1836,41.1119,Liaoning,CN.LN
1770A,Tian'an Jiedao,Jinzhou,121.1178,41.1222,Liaoning,CN.LN
1771A,North Lake Park,Jinzhou,121.1303,41.1386,Liaoning,CN.LN
1772A,Hatta Bay,Jilin,126.54,43.8622,Jilin,CN.JL
1773A,East Bureau,Jilin,126.5844,43.8358,Jilin,CN.JL
1774A,School of Electric Power,Jilin,126.5052,43.8245,Jilin,CN.JL
1775A,Jiangbei,Jilin,126.6133,43.8972,Jilin,CN.JL
1776A,Gangnam Park,Jilin,126.555,43.8306,Jilin,CN.JL
1777A,Academy of Agricultural Sciences,Jilin,,,,
1778A,Plump (control point),Jilin,126.7061,43.7133,Jilin,CN.JL
1779A,Anju Community,Qiqihar,123.9305,47.3636,Heilongjiang,CN.HL
1780A,Central Square,Qiqihar,123.9488,47.3386,Heilongjiang,CN.HL
1781A,Farming vehicle plant,Qiqihar,123.9483,47.3227,Heilongjiang,CN.HL
1782A,Fu District Environmental Protection Bureau (out of service 191231),Qiqihar,123.6261,47.203,Heilongjiang,CN.HL
1783A,Municipal Environmental Monitoring Station,Qiqihar,123.945,47.2988,Heilongjiang,CN.HL
1784A,Environmental Building,Mudanjiang,129.61,44.561,Heilongjiang,CN.HL
1785A,cultural Square,Mudanjiang,129.6115,44.5782,Heilongjiang,CN.HL
1786A,First hospital,Mudanjiang,129.5904,44.5963,Heilongjiang,CN.HL
1787A,Locomotive factory,Mudanjiang,129.6364,44.6075,Heilongjiang,CN.HL
1788A,first Middle school,Mudanjiang,129.6386,44.5462,Heilongjiang,CN.HL
1789A,Datong District,Daqing,124.81117,46.03138,Heilongjiang,CN.HL
1790A,Longfeng District,Daqing,125.129,46.533,Heilongjiang,CN.HL
1791A,Honggang District,Daqing,124.902,46.408,Heilongjiang,CN.HL
1792A,Sartu District,Daqing,125.153,46.586,Heilongjiang,CN.HL
1793A,Ranghulu District,Daqing,124.9042,46.6215,Heilongjiang,CN.HL
1794A,Monitoring station,Wuhu,118.3606,31.3519,Anhui,CN.AH
1795A,Technology Innovation Center,Wuhu,118.3714,31.4134,Anhui,CN.AH
1796A,Four water plants,Wuhu,118.3673,31.3131,Anhui,CN.AH
1797A,Jimin Hospital (control point),Wuhu,118.4022,31.3839,Anhui,CN.AH
1798A,Hudong Road Fourth Elementary School,Maanshan,118.5092,31.6837,Anhui,CN.AH
1799A,Development Zone,Maanshan,118.5024,31.6449,Anhui,CN.AH
1800A,Cihu,Maanshan,118.5228,31.7231,Anhui,CN.AH
1801A,Maanshan Iron & Steel Power Plant,Maanshan,118.48,31.6928,Anhui,CN.AH
1802A,Putang (control point),Maanshan,118.6245,31.7241,Anhui,CN.AH
1803A,Ten miles,Jiujiang,115.9872,29.6815,Jiangxi,CN.JX
1804A,Maoshantou,Jiujiang,115.9584,29.7046,Jiangxi,CN.JX
1805A,West Park,Jiujiang,115.9877,29.7295,Jiangxi,CN.JX
1806A,Five Seven Twenty Seven Factory,Jiujiang,116.0172,29.6547,Jiangxi,CN.JX
1807A,Institute of Water Science,Jiujiang,116.0628,29.6926,Jiangxi,CN.JX
1808A,Comprehensive Industrial Park,Jiujiang,115.9114,29.6038,Jiangxi,CN.JX
1809A,Petrochemical plant,Jiujiang,116.0721,29.7535,Jiangxi,CN.JX
1810A,Lushan Meteorological Observatory (reference point),Jiujiang,115.9773,29.5698,Jiangxi,CN.JX
1811A,CITIC Second Primary School,Luoyang,112.3628,34.6692,Henan,CN.HE
1812A,Municipal Party School,Luoyang,112.3931,34.6516,Henan,CN.HE
1813A,City Monitoring Station,Luoyang,112.4333,34.67,Henan,CN.HE
1814A,Yuxi Hotel,Luoyang,112.4657,34.6871,Henan,CN.HE
1815A,Henan Forestry School,Luoyang,112.494,34.6886,Henan,CN.HE
1816A,Development Zone Management Committee,Luoyang,112.3844,34.623,Henan,CN.HE
1817A,Municipal Party Committee New Office Area,Luoyang,112.4267,34.6258,Henan,CN.HE
1818A,Cotton Research Institute (control point),Anyang,114.4839,36.0621,Henan,CN.HE
1819A,Hongmiao Street,Anyang,114.3551,36.1017,Henan,CN.HE
1820A,Ginkgo Community,Anyang,114.361,36.0681,Henan,CN.HE
1821A,Environmental Protection Agency (out of service 171207),Anyang,114.3931,36.0883,Henan,CN.HE
1822A,Iron Buddha Temple (stopped 200115),Anyang,114.286,36.11,Henan,CN.HE
1823A,He University First Affiliated Hospital (out of service 180109),Kaifeng,114.3406,34.8022,Henan,CN.HE
1824A,cancer Hospital,Kaifeng,114.3389,34.7781,Henan,CN.HE
1825A,Maternal and Child Health Hospital (20190322 closed),Kaifeng,114.3733,34.7975,Henan,CN.HE
1826A,Century Star Kindergarten,Kaifeng,114.2885,34.7965,Henan,CN.HE
1827A,City Monitoring Station,Jiaozuo,113.261,35.235,Henan,CN.HE
1828A,Municipal Environmental Protection Bureau,Jiaozuo,113.2269,35.2127,Henan,CN.HE
1829A,High-tech Zone Government,Jiaozuo,113.2467,35.176,Henan,CN.HE
1830A,Studio City (comparison point),Jiaozuo,113.1987,35.2703,Henan,CN.HE
1831A,High voltage switch factory (20190304 out of service),Pingdingshan,113.3064,33.7214,Henan,CN.HE
1832A,Xinhua Guest House,Pingdingshan,113.3257,33.742,Henan,CN.HE
1833A,Planning and Design Institute,Pingdingshan,113.2919,33.737,Henan,CN.HE
1834A,Pingdingshan Institute of Technology,Pingdingshan,113.182,33.774,Henan,CN.HE
1835A,City Hall,Sanmenxia,111.1922,34.7752,Henan,CN.HE
1836A,Development Zone,Sanmenxia,111.1587,34.7942,Henan,CN.HE
1837A,Second seal,Sanmenxia,111.1858,34.7917,Henan,CN.HE
1838A,Scenic area (control point),Sanmenxia,111.143,34.7955,Henan,CN.HE
1839A,Four zero three,Yichang,111.3009,30.7157,Hubei,CN.HU
1840A,Bailonggang,Yichang,111.2992,30.6981,Hubei,CN.HU
1841A,Wujiagang,Yichang,111.3549,30.6465,Hubei,CN.HU
1842A,Point Military District,Yichang,111.2628,30.6961,Hubei,CN.HU
1843A,Yiling District,Yichang,111.3275,30.7819,Hubei,CN.HU
1844A,City Library,Jingzhou,112.2494,30.3197,Hubei,CN.HU
1845A,Municipal Party School,Jingzhou,112.2008,30.3544,Hubei,CN.HU
1846A,Kerong Environmental Protection,Jingzhou,112.2887,30.3055,Hubei,CN.HU
1847A,South Lake Scenic Area,Yue Yang,113.1094,29.3578,Hunan,CN.HN
1848A,Chenglingji,Yue Yang,113.1493,29.4251,Hunan,CN.HN
1849A,Development Zone,Yue Yang,113.1497,29.3575,Hunan,CN.HN
1850A,Yunxi District,Yue Yang,113.2621,29.4758,Hunan,CN.HN
1851A,Junshan District,Yue Yang,112.9943,29.4402,Hunan,CN.HN
1852A,Jinfeng Reservoir (control point),Yue Yang,113.2117,29.355,Hunan,CN.HN
1853A,City Monitoring Station,Changde,111.7044,29.0244,Hunan,CN.HN
1854A,City No. 2 Middle School,Changde,111.6975,28.9703,Hunan,CN.HN
1855A,Dingcheng Environmental Protection Bureau,Changde,111.6753,29.0239,Hunan,CN.HN
1856A,Municipal Technical Supervision Bureau,Changde,111.6794,29.0381,Hunan,CN.HN
1857A,Baihe Mountain (control point),Changde,111.7158,29.1456,Hunan,CN.HN
1858A,Yongding New District,Zhangjiajie,110.5319,29.1217,Hunan,CN.HN
1859A,Electric Power Bureau,Zhangjiajie,110.4697,29.1242,Hunan,CN.HN
1860A,Weiyang Road,Zhangjiajie,110.5594,29.3547,Hunan,CN.HN
1861A,Yuanjiajie (comparison point),Zhangjiajie,110.4417,29.315,Hunan,CN.HN
1862A,University of Electronic Science and Technology of China Yaoshan Campus (reference point),Guilin,110.4144,25.3167,Guangxi,CN.GX
1863A,Monitoring station,Guilin,110.2819,25.2697,Guangxi,CN.GX
1864A,Longyin Road Primary School,Guilin,110.3089,25.2708,Guangxi,CN.GX
1865A,Eight,Guilin,110.2869,25.2178,Guangxi,CN.GX
1866A,Niuweiling Reservoir (reference point),North Sea,109.2262,21.588,Guangxi,CN.GX
1867A,Beach park,North Sea,109.1436,21.4086,Guangxi,CN.GX
1868A,Xinshi Environmental Protection Bureau,North Sea,109.0981,21.4661,Guangxi,CN.GX
1869A,Beihai Industrial Park,North Sea,109.1778,21.5233,Guangxi,CN.GX
1870A,Liudong Primary School,Liuzhou,109.4856,24.3895,Guangxi,CN.GX
1871A,Environmental Monitoring Station,Liuzhou,109.4157,24.3277,Guangxi,CN.GX
1872A,Hexi Water Plant,Liuzhou,109.389,24.341,Guangxi,CN.GX
1873A,City Fourth Middle School,Liuzhou,109.4311,24.2921,Guangxi,CN.GX
1874A,City No. 9 Middle School,Liuzhou,109.4006,24.3631,Guangxi,CN.GX
1875A,Guting Mountain,Liuzhou,109.4958,24.3134,Guangxi,CN.GX
1876A,Hedongzi Station,Sanya,109.5078,18.2489,Hainan,CN.HA
1877A,Hexizi Station,Sanya,109.4964,18.2681,Hainan,CN.HA
1878A,Fule Mountain,Mianyang,104.7778,31.4741,Sichuan,CN.SC
1879A,Municipal People's Congress,Mianyang,104.7563,31.4535,Sichuan,CN.SC
1880A,High-tech Zone Water Supply Company,Mianyang,104.6697,31.4668,Sichuan,CN.SC
1881A,Three water plants,Mianyang,104.7287,31.5075,Sichuan,CN.SC
1882A,Shima Middle School (control point),Yibin,104.563,28.793,Sichuan,CN.SC
1883A,Municipal Party Committee,Yibin,104.6201,28.7728,Sichuan,CN.SC
1884A,Yibin Fourth Middle School,Yibin,104.6055,28.793,Sichuan,CN.SC
1885A,City Hall,Yibin,104.639,28.7562,Sichuan,CN.SC
1886A,Golden mouth,Yibin,104.5742,28.7199,Sichuan,CN.SC
1887A,Shaping Middle School (discontinued 200627),Yibin,104.6789,28.7989,Sichuan,CN.SC
1888A,Nong Nong Ping,Panzhihua,101.6891,26.571,Sichuan,CN.SC
1889A,Hemenkou,Panzhihua,101.5769,26.5928,Sichuan,CN.SC
1890A,Bingcaogang,Panzhihua,101.7169,26.585,Sichuan,CN.SC
1891A,Renhe,Panzhihua,101.7369,26.5008,Sichuan,CN.SC
1893A,Nine Lions Mountain (control point),Luzhou,105.4324,28.9634,Sichuan,CN.SC
1894A,Small market on the pier,Luzhou,105.4427,28.9063,Sichuan,CN.SC
1895A,Lantian Xianqiao,Luzhou,105.4241,28.8573,Sichuan,CN.SC
1896A,Municipal Environmental Monitoring Station,Luzhou,105.4379,28.8833,Sichuan,CN.SC
1897A,Datang Mountain (control point),Zigong,104.7547,29.3628,Sichuan,CN.SC
1898A,Salt road,Zigong,104.7214,29.3586,Sichuan,CN.SC
1899A,Tan Mu Lin Street,Zigong,104.7747,29.3564,Sichuan,CN.SC
1900A,Chunhua Road,Zigong,104.7692,29.3411,Sichuan,CN.SC
1901A,Dongshan Park,Deyang,104.4239,31.1208,Sichuan,CN.SC
1902A,West District,Deyang,104.3826,31.1317,Sichuan,CN.SC
1903A,City Procuratorate,Deyang,104.4053,31.1167,Sichuan,CN.SC
1904A,Refractory plant,Deyang,104.3553,31.1091,Sichuan,CN.SC
1905A,Xishan Scenic Area (control point),Nanchong,106.056,30.8064,Sichuan,CN.SC
1906A,Nanchong Municipal Party Committee,Nanchong,106.0789,30.8023,Sichuan,CN.SC
1907A,Nanchong Oil Refinery,Nanchong,106.1031,30.8217,Sichuan,CN.SC
1908A,Gaoping District Monitoring Station,Nanchong,106.1064,30.7856,Sichuan,CN.SC
1909A,Jialing District Environmental Protection Bureau,Nanchong,106.0642,30.7636,Sichuan,CN.SC
1910A,Municipal Environmental Monitoring Station,Nanchong,106.1087,30.8388,Sichuan,CN.SC
1911A,T-shaped mouth,Zunyi,106.9222,27.6869,Guizhou,CN.GZ
1912A,Phoenix Mountains,Zunyi,106.9242,27.7019,Guizhou,CN.GZ
1913A,Zhongzhuang,Zunyi,106.8906,27.6486,Guizhou,CN.GZ
1914A,Zhoushuiqiao,Zunyi,106.9231,27.6506,Guizhou,CN.GZ
1915A,Gantianba,Zunyi,106.9178,27.72,Guizhou,CN.GZ
1916A,Environmental Monitoring Station,Qu Jing,103.7897,25.5035,Yunnan,CN.YN
1917A,Tobacco Factory Office Area,Qu Jing,103.8,25.5364,Yunnan,CN.YN
1918A,Weather station (reference point),Xianyang,108.7197,34.3956,Shaanxi,CN.SA
1919A,Experimental Middle School,Xianyang,108.673,34.3155,Shaanxi,CN.SA
1920A,Normal university,Xianyang,108.7233,34.3617,Shaanxi,CN.SA
1921A,College of Traditional Chinese Medicine,Xianyang,108.7369,34.3164,Shaanxi,CN.SA
1922A,Party school (reference point),Tongchuan,109.0656,35.0994,Shaanxi,CN.SA
1923A,Wangyi District Government,Tongchuan,109.0697,35.0697,Shaanxi,CN.SA
1924A,New District Management Committee,Tongchuan,108.9344,34.9058,Shaanxi,CN.SA
1925A,New Area Laneige Company,Tongchuan,108.9589,34.8731,Shaanxi,CN.SA
1926A,Jujube garden (control point),Yan'an,109.4131,36.6275,Shaanxi,CN.SA
1927A,Yanda Medical Affiliated Hospital,Yan'an,109.4761,36.6028,Shaanxi,CN.SA
1928A,City Monitoring Station,Yan'an,109.4824,36.5767,Shaanxi,CN.SA
1929A,100m Avenue,Yan'an,109.5056,36.6106,Shaanxi,CN.SA
1930A,Miaogou Village (comparison point),Baoji,107.185,34.3063,Shaanxi,CN.SA
1931A,Zhuyuangou,Baoji,107.0708,34.3017,Shaanxi,CN.SA
1932A,Sanriku Hospital,Baoji,107.1906,34.3672,Shaanxi,CN.SA
1933A,Monitoring station,Baoji,107.1431,34.3547,Shaanxi,CN.SA
1934A,Technical School,Baoji,107.1186,34.3739,Shaanxi,CN.SA
1935A,Family Building of Environmental Protection Bureau of Chencang District,Baoji,107.3906,34.3528,Shaanxi,CN.SA
1936A,College of Arts and Sciences,Baoji,107.2058,34.3497,Shaanxi,CN.SA
1937A,Sandi Primary School,Baoji,107.2386,34.3622,Shaanxi,CN.SA
1938A,Agricultural Science Institute (control point),Weinan,109.5293,34.5101,Shaanxi,CN.SA
1939A,Daily News,Weinan,109.4974,34.4877,Shaanxi,CN.SA
1940A,stadium,Weinan,109.4636,34.493,Shaanxi,CN.SA
1941A,Gaoxin One Primary School,Weinan,109.4259,34.5023,Shaanxi,CN.SA
1942A,Municipal Science and Technology Commission (out of operation 180727),Jinchang,102.1878,38.5247,Gansu,CN.GS
1943A,Xinchuan Court,Jinchang,102.1725,38.5339,Gansu,CN.GS
1944A,Tianqing Home,Jinchang,102.1692,38.5167,Gansu,CN.GS
1945A,Bureau of Meteorology,Jiayuguan,98.2908,39.7711,Gansu,CN.GS
1946A,Jiugang Refractory Company,Jiayuguan,,,,
1947A,Shahu Tourist Area (comparison point),Shizuishan,106.3394,38.817,Ningxia Hui,CN.NX
1948A,"Chaoyang West Street, Dawukou",Shizuishan,106.3668,39.0145,Ningxia Hui,CN.NX
1949A,Huinong South Street,Shizuishan,106.7704,39.2282,Ningxia Hui,CN.NX
1950A,"Huixin Street, Hongguozhen Town",Shizuishan,106.7099,39.1325,Ningxia Hui,CN.NX
1951A,Long March New Village,Karamay,84.895,45.6094,Xinjiang Uygur,CN.XJ
1952A,Nanlin Community,Karamay,84.8988,45.5893,Xinjiang Uygur,CN.XJ
1953A,Baijiantan District,Karamay,85.1186,45.6886,Xinjiang Uygur,CN.XJ
1954A,Dushanzi District,Karamay,84.905,44.3396,Xinjiang Uygur,CN.XJ
1955A,Wuerhe District Commercial Building,Karamay,85.6979,46.098,Xinjiang Uygur,CN.XJ
1956A,Peacock Park,Bayinguoleng,86.1472,41.7538,Xinjiang Uygur,CN.XJ
1957A,Cotton mill,Bayinguoleng,86.1972,41.7166,Xinjiang Uygur,CN.XJ
1958A,economic development Zone,Bayinguoleng,86.2357,41.7173,Xinjiang Uygur,CN.XJ
1959A,Monitoring station,Shouguang,118.746,36.881,Shandong,CN.SD
1960A,Century School,Shouguang,118.78,36.864,Shandong,CN.SD
1961A,Dongshan Primary School,Jinan,117.532,36.6868,Shandong,CN.SD
1961A,Dongshan Primary School,Zhangqiu,117.541,36.71,Shandong,CN.SD
1962A,Mingshui Development Zone,Zhangqiu,117.541,36.71,Shandong,CN.SD
1963A,Environmental Protection Bureau Substation,Jimo,120.61,36.44,Shandong,CN.SD
1964A,Development Zone Substation,Jimo,120.47,36.39,Shandong,CN.SD
1965A,JN substation,Jiaonan,120.005,35.878,Shandong,CN.SD
1966A,Huangdao District No. 4,Qingdao,120.0405,35.8735,Shandong,CN.SD
1966A,Huangdao District No. 4,Jiaonan,120.039,35.872,Shandong,CN.SD
1967A,Jiaozhou Environmental Protection Bureau,Jiaozhou,120.008,36.283,Shandong,CN.SD
1968A,Jiaozhou No. 1 Middle School,Jiaozhou,120.014,36.253,Shandong,CN.SD
1969A,Environmental Protection Bureau Substation,Lacey,120.537,36.865,Shandong,CN.SD
1970A,People's Square Station,Lacey,120.515,36.885,Shandong,CN.SD
1971A,number 1,Flatness,119.952,36.792,Shandong,CN.SD
1972A,number 2,Flatness,119.976,36.799,Shandong,CN.SD
1973A,Penglai Environmental Protection Bureau,Penle,120.747,37.825,Shandong,CN.SD
1974A,Penglai Museum,Penle,120.773,37.809,Shandong,CN.SD
1975A,Zhaoyuan Environmental Protection Bureau,Zhaoyuan,120.399,37.374,Shandong,CN.SD
1976A,Zhaoyuan Education Bureau,Zhaoyuan,120.394,37.364,Shandong,CN.SD
1977A,Laizhou Environmental Protection Bureau,Laizhou,119.941,37.177,Shandong,CN.SD
1978A,Laizhou Foreign Economic Commission,Laizhou,119.959,37.18,Shandong,CN.SD
1979A,Office Building of Rongcheng Environmental Protection Bureau,Rongcheng,122.471,37.154,Shandong,CN.SD
1980A,Shandong Chengshan Tire Company,Rongcheng,122.41,37.161,Shandong,CN.SD
1981A,Wendeng Environmental Protection Bureau,Wenden,122.038,37.197,Shandong,CN.SD
1982A,Wendeng Development Zone,Weihai,122.0693,37.2174,Shandong,CN.SD
1983A,Rushan Environmental Protection Bureau,Rushan,121.531,36.913,Shandong,CN.SD
1984A,Rushan Meteorological Bureau,Rushan,121.544,36.907,Shandong,CN.SD
1985A,Wujiang Environmental Protection Bureau,Wu Jiang,120.636,31.155,Jiangsu,CN.JS
1986A,Teacher Training School,Wu Jiang,120.635,31.17,Jiangsu,CN.JS
1987A,Wujiang Development Zone,Wu Jiang,120.658,31.172,Jiangsu,CN.JS
1988A,Kunshan Experimental Primary School,Kunshan,120.953,31.388,Jiangsu,CN.JS
1989A,Zhenchuan Middle School,Kunshan,120.999,31.381,Jiangsu,CN.JS
1990A,Haiyuzi Station,Changshu,120.758,31.67,Jiangsu,CN.JS
1991A,Xingfuzi Station,Changshu,120.721,31.671,Jiangsu,CN.JS
1992A,Lingtangzi Station,Changshu,120.734,31.656,Jiangsu,CN.JS
1993A,Zhangjiagang City Monitoring Station,Zhangjiagang,120.526,31.874,Jiangsu,CN.JS
1994A,Chengbei Primary School,Zhangjiagang,120.55,31.882,Jiangsu,CN.JS
1995A,Taicang Monitoring Station,Taicang,121.115,31.453,Jiangsu,CN.JS
1996A,Science and Education New Town Shixiao,Taicang,121.14,31.422,Jiangsu,CN.JS
1997A,Fire Command Center,Jurong,119.146,31.955,Jiangsu,CN.JS
1998A,Fangjiaba,Jurong,119.18,31.955,Jiangsu,CN.JS
1999A,Hongqiao Post,Jiangyin,120.268,31.92,Jiangsu,CN.JS
2000A,Five Star Park,Jiangyin,120.237,31.909,Jiangsu,CN.JS
2001A,Second Experimental Primary School,Jiangyin,120.302,31.92,Jiangsu,CN.JS
2002A,Yixing Environmental Protection Bureau,Yixing,119.818,31.354,Jiangsu,CN.JS
2003A,Yiyuan,Yixing,119.794,31.371,Jiangsu,CN.JS
2004A,Jintan Environmental Monitoring Station,Jintan,119.579,31.751,Jiangsu,CN.JS
2005A,Jintan City Water Supply Company,Jintan,119.579,31.737,Jiangsu,CN.JS
2006A,"Dongmenzi Station, Liyang City",Liyang,119.46,31.4,Jiangsu,CN.JS
2007A,Yanshanzi Station,Liyang,119.438,31.317,Jiangsu,CN.JS
2008A,Haimen City Monitoring Station,sea ​​Gate,121.173,31.896,Jiangsu,CN.JS
2009A,Social Welfare Institute,sea ​​Gate,121.1518,31.89708,Jiangsu,CN.JS
2010A,City Hall,Lin'an,119.7183,30.2366,Zhejiang,CN.ZJ
2011A,Fourth,Lin'an,119.6942,30.2311,Zhejiang,CN.ZJ
2012A,Monitoring station,Fuyang,119.954,30.054,Zhejiang,CN.ZJ
2013A,Fuchun Second Primary School,Fuyang,119.946,30.049,Zhejiang,CN.ZJ
2014A,Jiangdong,Yiwu,120.091,29.305,Zhejiang,CN.ZJ
2015A,Beiyuan,Yiwu,120.04,29.334,Zhejiang,CN.ZJ
2016A,library,Zhuji,120.251,29.719,Zhejiang,CN.ZJ
2017A,Fulin Printing,Zhuji,120.209,29.732,Zhejiang,CN.ZJ
2018A,Baolong Villa,Wafangdian,121.989,39.625,Liaoning,CN.LN
2019A,Dongshan Park,Wafangdian,122.011,39.617,Liaoning,CN.LN
2031A,Yuntian Middle School,Zhuzhou,113.1817,27.9958,Hunan,CN.HN
2054A,Pingqiao Branch,Xinyang,114.1099,32.1059,Henan,CN.HE
2064A,South Bay Water Plant,Xinyang,113.9956,32.1271,Henan,CN.HE
2065A,City Brewing Company,Xinyang,114.0775,32.1195,Henan,CN.HE
2066A,Audit Bureau,Xinyang,114.0609,32.1399,Henan,CN.HE
2067A,Municipal Environmental Monitoring Station,Zhoukou,114.6613,33.6128,Henan,CN.HE
2068A,Zhoukou Normal University,Zhoukou,114.6758,33.6347,Henan,CN.HE
2069A,City Transportation Management Office,Zhoukou,114.6546,33.5979,Henan,CN.HE
2070A,Chuanhui District Environmental Protection Bureau,Zhoukou,114.6369,33.6406,Henan,CN.HE
2073A,Lam Tin (out of service 160601),Zhangzhou,117.7206,24.5086,Fujian,CN.FJ
2074A,Zhangzhou No. 3 Middle School (20190503 suspended),Zhangzhou,117.6569,24.5157,Fujian,CN.FJ
2075A,Nine Lakes (control point),Zhangzhou,117.6336,24.4674,Fujian,CN.FJ
2160A,Water company,Jincheng,112.85,35.5051,Shanxi,CN.SX
2161A,Baiyun Trading,Jincheng,112.8318,35.4936,Shanxi,CN.SX
2162A,Municipal Environmental Protection Bureau,Jincheng,112.8508,35.4887,Shanxi,CN.SX
2163A,Technology academy,Jincheng,112.8676,35.4897,Shanxi,CN.SX
2164A,Zezhou No. 1 Middle School,Jincheng,112.8271,35.4828,Shanxi,CN.SX
2165A,White Horse Temple (comparison point),Jincheng,112.8453,35.546,Shanxi,CN.SX
2166A,Pingshuo,Shuozhou,112.4397,39.3522,Shanxi,CN.SX
2167A,Shuo Wei,Shuozhou,112.4575,39.3617,Shanxi,CN.SX
2168A,District Government,Shuozhou,112.4258,39.3197,Shanxi,CN.SX
2169A,Municipal Environmental Protection Bureau,Shuozhou,112.4072,39.3278,Shanxi,CN.SX
2170A,City No. 2 Middle School,Shuozhou,112.4272,39.3681,Shanxi,CN.SX
2171A,Nylon Community,Jinzhong,112.7532,37.6945,Shanxi,CN.SX
2172A,Yuci Hydraulic Parts Factory,Jinzhong,,,Shanxi,CN.SX
2173A,Nandu District,Jinzhong,112.7249,37.7067,Shanxi,CN.SX
2174A,Yuci District Government,Jinzhong,112.6991,37.6982,Shanxi,CN.SX
2175A,Yuncheng Middle School,Yuncheng,110.9956,35.0147,Shanxi,CN.SX
2176A,Yudu Development Zone,Yuncheng,111.0233,35.0611,Shanxi,CN.SX
2177A,Yuncheng College (discontinued),Yuncheng,111.0397,35.0394,Shanxi,CN.SX
2178A,Regional Technical School,Yuncheng,110.9686,35.0303,Shanxi,CN.SX
2179A,Airport New Area,Yuncheng,111.0414,35.1147,Shanxi,CN.SX
2180A,Machine lead (20190313 out of service),Xinzhou,112.7356,38.4186,Shanxi,CN.SX
2181A,Development Zone,Xinzhou,112.7383,38.4519,Shanxi,CN.SX
2182A,Exhibition Center,Xinzhou,112.7003,38.4928,Shanxi,CN.SX
2183A,Environmental Protection Agency,Lu Liang,111.1406,37.5211,Shanxi,CN.SX
2184A,Soy Products Factory,Lu Liang,,,Shanxi,CN.SX
2185A,Water company,Lu Liang,111.1297,37.5136,Shanxi,CN.SX
2186A,Juying School,Wuhai,106.8288,39.6778,Nei Mongol,CN.NM
2187A,City Forestry Bureau,Wuhai,106.8174,39.6973,Nei Mongol,CN.NM
2188A,Zhonghai Bowan School,Wuhai,106.7907,39.6667,Nei Mongol,CN.NM
2189A,Tongliao Hotel,Tongliao,122.2603,43.6267,Nei Mongol,CN.NM
2190A,Jiaojian Aluminum,Tongliao,122.3039,43.6156,Nei Mongol,CN.NM
2191A,Art Vocational School,Tongliao,122.2532,43.6801,Nei Mongol,CN.NM
2192A,District Environmental Protection Bureau,Hulunbuir,119.7594,49.2261,Nei Mongol,CN.NM
2193A,City Art School,Hulunbuir,119.7283,49.2014,Nei Mongol,CN.NM
2194A,Autumn forest breeding base (control point),Bayannur,107.5936,40.916,Nei Mongol,CN.NM
2195A,Attached second middle school,Bayannur,107.4212,40.761,Nei Mongol,CN.NM
2196A,City Environmental Building,Bayannur,107.37,40.7372,Nei Mongol,CN.NM
2197A,Jining New District,Ulanchabu,113.1306,40.9923,Nei Mongol,CN.NM
2198A,West of Jining Old District,Ulanchabu,113.0974,41.038,Nei Mongol,CN.NM
2199A,Union Monitoring Station (out of operation 170221),Xing'an League,122.062,46.0872,Nei Mongol,CN.NM
2200A,Shenghua New Pharmaceutical Factory,Xing'an League,122.0392,46.0656,Nei Mongol,CN.NM
2201A,Keyouqianqi Environmental Protection Bureau,Xing'an League,121.9504,46.0741,Nei Mongol,CN.NM
2202A,Municipal Environmental Monitoring Station,Xilin Gol League,116.1042,43.9317,Nei Mongol,CN.NM
2203A,City Hall,Xilin Gol League,116.0781,43.9311,Nei Mongol,CN.NM
2204A,Xicheng District West Garden (control point),Alxa League,105.6467,38.8363,Nei Mongol,CN.NM
2205A,Meng Eryou,Alxa League,105.6985,38.8411,Nei Mongol,CN.NM
2206A,Environmental Protection Bureau New Building,Alxa League,105.724,38.8516,Nei Mongol,CN.NM
2207A,Industrial park,Fuxin,121.6094,41.998,Liaoning,CN.LN
2208A,Changqing Street,Fuxin,121.6697,42.0279,Liaoning,CN.LN
